Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
XR75319,Arizona,4786.889347,No,Basic,College,1/2/11,Employed,M,45515,Urban,Married,61,14,33,0,9,Personal Auto,Personal L3,Offer2,Call Center,236.907007,,,nan
GM70734,California,13561.2048,No,Extended,College,1/29/11,Medical Leave,F,29095,Urban,Divorced,91,29,47,1,2,Corporate Auto,Corporate L3,Offer1,Agent,280.800938,Two-Door Car,Medsize,nan
JX19907,Oregon,3798.32165,No,Premium,Bachelor,2/4/11,Unemployed,M,0,Suburban,Married,107,34,70,1,1,Corporate Auto,Corporate L3,Offer1,Web,1261.943541,Two-Door Car,Medsize,nan
DR77208,California,9538.770856,No,Extended,Bachelor,2/26/11,Unemployed,M,0,Rural,Married,85,7,6,0,2,Personal Auto,Personal L2,Offer4,Call Center,58.714775,Two-Door Car,Medsize,nan
BO81145,Arizona,7894.5005,No,Basic,Bachelor,1/24/11,Employed,M,21723,Suburban,Single,104,31,6,0,8,Personal Auto,Personal L2,Offer2,Call Center,748.8,SUV,Medsize,nan
YG20683,Washington,2860.111745,No,Basic,College,2/20/11,Employed,M,51159,Rural,Married,72,4,61,0,1,Personal Auto,Personal L2,Offer2,Branch,4.238626,Four-Door Car,Medsize,A
HG68775,Washington,4506.485006,No,Premium,College,2/17/11,Medical Leave,F,15462,Suburban,Married,115,34,18,0,1,Corporate Auto,Corporate L2,Offer1,Web,611.941558,Four-Door Car,Medsize,A
BE78308,Oregon,2150.906016,No,Basic,Bachelor,1/29/11,Unemployed,M,0,Suburban,Single,63,8,83,0,1,Personal Auto,Personal L1,Offer1,Branch,453.6,Two-Door Car,Medsize,nan
TS19868,California,2413.139714,No,Basic,College,1/27/11,Medical Leave,M,27501,Suburban,Married,63,20,0,0,1,Personal Auto,Personal L1,Offer4,Branch,542.319401,Four-Door Car,Medsize,A
LL14393,Oregon,2556.609217,No,Basic,High School or Below,1/5/11,Employed,M,23867,Suburban,Married,65,6,99,0,1,Personal Auto,Personal L2,Offer3,Call Center,312,Four-Door Car,Medsize,A
FP53421,California,7613.706014,No,Basic,High School or Below,1/19/11,Retired,M,25944,Suburban,Divorced,70,20,34,0,2,Personal Auto,Personal L3,Offer4,Branch,336,Four-Door Car,Medsize,A
PI92163,Nevada,4897.041423,No,Basic,Bachelor,1/7/11,Medical Leave,M,24383,Suburban,Single,69,4,78,2,4,Corporate Auto,Corporate L3,Offer1,Call Center,331.2,Four-Door Car,Medsize,nan
ZJ15114,California,5331.737284,No,Basic,High School or Below,1/12/11,Employed,M,60986,Suburban,Married,67,30,32,0,5,Corporate Auto,Corporate L3,Offer4,Branch,417.781693,Four-Door Car,Medsize,nan
PE72393,Arizona,11905.06754,No,Premium,High School or Below,2/24/11,Unemployed,F,0,Suburban,Single,115,19,39,0,2,Corporate Auto,Corporate L1,Offer1,Branch,840.179082,Four-Door Car,Medsize,A
GW52309,Nevada,9118.148093,No,Basic,High School or Below,1/8/11,Employed,F,56446,Suburban,Married,114,2,8,0,3,Personal Auto,Personal L3,Offer1,Branch,547.2,SUV,Medsize,A
XK15687,Oregon,10899.30177,No,Extended,High School or Below,1/14/11,Employed,F,58518,Rural,Married,136,17,9,0,3,Personal Auto,Personal L3,Offer1,Agent,323.637414,SUV,Medsize,A
EO91797,Nevada,15641.25856,No,Extended,Master,1/11/11,Employed,F,32370,Urban,Married,130,31,84,0,2,Corporate Auto,Corporate L3,Offer3,Agent,487.736171,SUV,Medsize,nan
YU90693,California,2481.842224,No,Basic,High School or Below,1/13/11,Employed,F,77993,Suburban,Single,62,26,10,0,1,Personal Auto,Personal L1,Offer2,Agent,297.6,Four-Door Car,Medsize,A
MW80236,Washington,7919.832069,No,Basic,Master,2/21/11,Unemployed,M,0,Suburban,Married,70,13,18,0,2,Personal Auto,Personal L1,Offer1,Agent,336,Four-Door Car,Medsize,A
AS93181,Arizona,4506.577736,No,Basic,Bachelor,1/31/11,Disabled,F,14985,Suburban,Married,116,12,45,0,1,Personal Auto,Personal L3,Offer1,Call Center,571.319514,Sports Car,Medsize,A
QK90365,Oregon,16301.9676,Yes,Extended,Master,2/17/11,Retired,F,19614,Suburban,Married,85,21,32,0,2,Personal Auto,Personal L3,Offer2,Agent,574.024018,Two-Door Car,Medsize,nan
DY35486,California,19957.79034,No,Basic,High School or Below,1/29/11,Unemployed,M,0,Suburban,Single,187,1,7,0,2,Personal Auto,Personal L2,Offer1,Agent,1346.4,Luxury Car,Large,nan
GJ99406,Arizona,7462.926263,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30,66,0,5,Corporate Auto,Corporate L2,Offer2,Call Center,7.345946,Two-Door Car,Small,A
KR29524,Oregon,4742.617289,No,Basic,Bachelor,2/26/11,Employed,F,78596,Rural,Married,118,1,70,0,1,Personal Auto,Personal L1,Offer1,Branch,133.907696,SUV,Medsize,A
GV33313,Arizona,5107.163002,Yes,Basic,Bachelor,1/26/11,Employed,F,35625,Urban,Married,65,10,56,1,3,Personal Auto,Personal L1,Offer2,Agent,288.572108,Four-Door Car,Medsize,nan
LZ98529,Arizona,10382.50368,No,Basic,High School or Below,2/20/11,Retired,M,11721,Suburban,Divorced,102,2,56,2,2,Personal Auto,Personal L2,Offer2,Agent,560.91624,SUV,Medsize,nan
JY90595,Arizona,5528.664986,No,Basic,High School or Below,2/7/11,Medical Leave,M,16042,Suburban,Married,73,33,58,0,9,Personal Auto,Personal L3,Offer1,Agent,350.4,,,A
ZD63451,,2503.660407,,Basic,Bachelor,1/11/11,Employed,M,53338,Rural,Married,63,24,35,1,1,Personal Auto,Personal L2,Offer4,Agent,35.45384,Four-Door Car,Medsize,A
ID40186,Oregon,12904.94336,No,Premium,Bachelor,2/27/11,Employed,F,27778,Suburban,Divorced,109,,14,,2,Personal Auto,Personal L3,Offer1,Agent,523.2,Four-Door Car,Large,nan
UG79499,Washington,11681.37428,No,Extended,Bachelor,2/26/11,Employed,M,70930,Rural,Divorced,99,2,21,0,2,Personal Auto,Personal L1,Offer1,Agent,190.43446,Four-Door Car,Medsize,nan
BR13613,,6005.847375,,Extended,College,2/23/11,Retired,M,13528,Suburban,Single,86,21,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,A
AO98601,Washington,5018.885233,No,Basic,Bachelor,1/18/11,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small,nan
HI60054,,9404.447425,,Extended,Bachelor,2/1/11,Employed,F,51593,Urban,Married,80,5,91,2,2,Personal Auto,Personal L2,Offer1,Agent,202.905809,Two-Door Car,Medsize,nan
ZV93969,,4754.449647,,Extended,College,1/4/11,Unemployed,F,0,Suburban,Single,136,5,46,0,1,Corporate Auto,Corporate L1,Offer1,Call Center,652.8,SUV,Medsize,nan
XK31350,Oregon,6915.729915,No,Extended,College,1/25/11,Employed,F,96610,Suburban,Married,85,6,23,0,3,Corporate Auto,Corporate L1,Offer4,Call Center,520.364752,Four-Door Car,Large,A
LB29621,Oregon,9294.54951,No,Extended,Bachelor,1/22/11,Employed,F,21370,Rural,Married,77,1,35,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,105.181202,Four-Door Car,Medsize,nan
GQ32356,Nevada,3871.778009,No,Premium,High School or Below,2/6/11,Unemployed,F,0,Suburban,Single,111,10,75,0,1,Personal Auto,Personal L3,Offer2,Agent,799.2,Four-Door Car,Medsize,A
LX74249,Oregon,2938.814981,No,Basic,Bachelor,2/28/11,Employed,F,96765,Urban,Married,72,,61,,1,Personal Auto,Personal L3,Offer3,Call Center,216.01091,Two-Door Car,Medsize,A
PN68458,California,7545.548643,No,Basic,High School or Below,1/23/11,Unemployed,F,0,Suburban,Married,106,19,67,1,3,Corporate Auto,Corporate L3,Offer3,Agent,631.108223,SUV,Medsize,nan
FS81127,California,2425.29505,No,Basic,Bachelor,1/3/11,Unemployed,F,0,Suburban,Married,67,3,42,1,1,Corporate Auto,Corporate L3,Offer2,Web,426.006858,Four-Door Car,Medsize,A
HW97280,California,19483.24011,No,Extended,High School or Below,2/2/11,Employed,M,74300,Urban,Married,122,23,38,0,2,Personal Auto,Personal L3,Offer2,Web,354.55391,SUV,Medsize,nan
JB36584,Arizona,14333.92489,No,Basic,Master,2/4/11,Employed,M,41459,Suburban,Married,71,8,4,0,2,Personal Auto,Personal L3,Offer2,Call Center,340.8,Four-Door Car,Medsize,nan
AY18433,Washington,27382.81893,No,Extended,High School or Below,1/2/11,Employed,F,45473,Rural,Married,76,10,29,0,2,Special Auto,Special L2,Offer4,Branch,188.938397,Two-Door Car,Medsize,nan
IH18704,California,4365.256633,No,Basic,Master,1/30/11,Disabled,M,23566,Suburban,Married,112,3,43,0,1,Personal Auto,Personal L2,Offer2,Agent,537.6,SUV,Medsize,A
WW37525,California,7659.499583,No,Extended,High School or Below,2/20/11,Employed,M,95701,Rural,Divorced,98,24,8,3,3,Personal Auto,Personal L3,Offer1,Branch,99.697769,Four-Door Car,Small,A
AG62140,California,5386.325174,No,Basic,College,1/5/11,Employed,F,33716,Suburban,Married,68,18,67,1,3,Personal Auto,Personal L2,Offer1,Agent,349.431986,Four-Door Car,Small,nan
TV23956,Washington,2089.337182,No,Basic,High School or Below,2/23/11,Unemployed,M,0,Suburban,Single,63,30,6,1,1,Personal Auto,Personal L2,Offer1,Agent,453.6,Four-Door Car,Small,nan
OL55220,California,5241.142484,No,Basic,Bachelor,1/28/11,Employed,F,48345,Urban,Single,67,7,1,0,7,Personal Auto,Personal L3,Offer2,Web,212.009825,Four-Door Car,Large,nan
CH73843,Arizona,7623.580733,No,Basic,High School or Below,2/9/11,Employed,M,69900,Rural,Married,64,23,68,0,2,Personal Auto,Personal L2,Offer4,Branch,33.97,Two-Door Car,Large,nan
GP85044,Arizona,4533.733641,No,Basic,Bachelor,2/12/11,Employed,M,91967,Rural,Married,113,,74,,1,Special Auto,Special L1,Offer1,Agent,156.736745,SUV,Medsize,nan
TV35668,California,2722.210707,Yes,Basic,College,2/2/11,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Personal Auto,Personal L3,Offer2,Call Center,398.502948,Four-Door Car,Medsize,nan
SQ35375,Oregon,5054.334903,No,Basic,Doctor,2/20/11,Employed,F,22241,Suburban,Married,63,1,1,0,6,Personal Auto,Personal L3,Offer2,Web,343.159148,Four-Door Car,Medsize,A
FH43628,California,25464.82059,Yes,Extended,College,2/1/11,Retired,F,13663,Suburban,Single,97,1,66,0,2,Personal Auto,Personal L2,Offer1,Branch,465.6,Four-Door Car,Small,nan
IW70308,,8257.666512,,Basic,Bachelor,1/12/11,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize,nan
JQ56711,Oregon,5923.117229,No,Basic,Master,2/2/11,Employed,F,92163,Rural,Married,73,3,79,0,6,Personal Auto,Personal L3,Offer3,Web,66.568642,,,nan
LR43989,Oregon,4882.289803,No,Basic,High School or Below,1/17/11,Medical Leave,F,19715,Suburban,Married,66,25,11,4,5,Personal Auto,Personal L3,Offer1,Web,475.2,,,nan
ON90223,Washington,12846.4477,No,Basic,College,2/6/11,Employed,M,93210,Suburban,Married,107,6,9,2,2,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Small,A
No61408,California,5414.897604,No,Extended,Bachelor,2/23/11,Employed,F,57452,Suburban,Married,136,25,10,1,1,Personal Auto,Personal L1,Offer1,Branch,652.8,SUV,Large,nan
UN90060,Oregon,8329.286254,No,Basic,High School or Below,1/19/11,Employed,F,30865,Rural,Married,104,33,31,0,7,Personal Auto,Personal L3,Offer1,Web,21.261834,SUV,Medsize,A
TI90592,California,7430.347681,No,Extended,College,1/21/11,Employed,M,61568,Urban,Married,93,3,36,0,3,Corporate Auto,Corporate L1,Offer1,Agent,240.818954,Four-Door Car,Medsize,A
NT36519,California,8161.944953,No,Basic,College,2/16/11,Employed,M,32967,Suburban,Married,105,16,70,1,4,Personal Auto,Personal L2,Offer1,Branch,504,,,A
HH45183,Oregon,3713.803592,No,Extended,High School or Below,2/10/11,Employed,M,93308,Suburban,Married,92,20,56,0,1,Personal Auto,Personal L3,Offer2,Agent,441.6,Four-Door Car,Medsize,A
ES93923,Oregon,8798.312515,No,Premium,Bachelor,2/6/11,Employed,F,24550,Suburban,Married,111,12,6,0,9,Personal Auto,Personal L1,Offer2,Agent,536.00374,Four-Door Car,Small,A
XX31571,Washington,16728.34386,No,Extended,High School or Below,1/15/11,Unemployed,M,0,Suburban,Single,237,1,29,0,5,Personal Auto,Personal L1,Offer3,Agent,1706.4,Luxury Car,Medsize,nan
LZ89773,California,2326.864833,No,Basic,Doctor,2/17/11,Unemployed,M,0,Suburban,Married,62,26,98,0,1,Personal Auto,Personal L3,Offer3,Agent,624.711448,Four-Door Car,Small,A
AB45325,Arizona,2577.319607,No,Basic,High School or Below,1/26/11,Employed,M,74215,Suburban,Married,64,27,41,0,1,Personal Auto,Personal L3,Offer4,Branch,345.180055,Two-Door Car,Small,nan
QR45101,Oregon,6624.61183,No,Basic,Bachelor,2/26/11,Unemployed,M,0,Suburban,Married,62,27,53,0,2,Corporate Auto,Corporate L3,Offer1,Branch,297.6,Two-Door Car,Medsize,nan
AR69517,California,11790.49617,Yes,Basic,College,1/3/11,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Corporate Auto,Corporate L3,Offer2,Web,316.8,Four-Door Car,Medsize,nan
GC93551,Oregon,5290.127299,No,Basic,High School or Below,2/27/11,Employed,F,27179,Suburban,Divorced,66,8,91,0,9,Personal Auto,Personal L3,Offer1,Branch,344.201601,Four-Door Car,Medsize,nan
HQ10502,Oregon,11692.00974,No,Extended,Bachelor,2/6/11,Employed,M,40548,Suburban,Divorced,98,7,57,0,2,Personal Auto,Personal L3,Offer1,Agent,470.4,,,A
OO63074,California,4517.908834,No,Basic,Bachelor,2/9/11,Medical Leave,F,25261,Suburban,Married,118,31,9,0,1,Personal Auto,Personal L3,Offer4,Branch,566.4,,,nan
LZ57827,California,13931.35067,No,Basic,Bachelor,1/12/11,Employed,M,37695,Urban,Married,118,11,62,0,2,Personal Auto,Personal L2,Offer1,Branch,352.311743,SUV,Medsize,nan
JK68578,California,15306.13396,No,Basic,High School or Below,2/6/11,Employed,F,83868,Rural,Married,189,30,91,0,7,Corporate Auto,Corporate L2,Offer1,Agent,134.836237,Luxury Car,Medsize,nan
YE68736,California,7724.840065,No,Premium,Bachelor,2/7/11,Employed,F,32051,Suburban,Married,193,4,40,1,1,Personal Auto,Personal L3,Offer1,Call Center,926.4,SUV,Medsize,A
KL57176,Oregon,4505.405812,No,Basic,College,2/15/11,Employed,F,67801,Rural,Divorced,115,12,45,1,1,Personal Auto,Personal L3,Offer3,Web,23.810491,SUV,Medsize,A
GT54462,Arizona,14349.85991,No,Premium,Bachelor,2/5/11,Employed,M,73222,Urban,Married,180,24,43,0,3,Personal Auto,Personal L1,Offer1,Call Center,821.51673,SUV,Large,A
JL97265,,4611.2543,,Basic,Master,1/7/11,Unemployed,M,0,Suburban,Married,61,4,15,0,7,Personal Auto,Personal L3,Offer2,Web,292.8,Four-Door Car,Medsize,A
YU72630,Arizona,2592.437797,Yes,Basic,High School or Below,1/2/11,Employed,M,72421,Suburban,Married,65,8,23,0,1,Personal Auto,Personal L2,Offer2,Call Center,312,Four-Door Car,Small,A
NN65590,California,2762.801339,No,Basic,College,2/10/11,Employed,F,72335,Suburban,Single,69,23,35,0,1,Personal Auto,Personal L1,Offer2,Web,331.2,Four-Door Car,Medsize,nan
JV13438,Oregon,4909.027487,No,Basic,High School or Below,1/24/11,Employed,M,98693,Suburban,Married,61,7,57,0,3,Personal Auto,Personal L2,Offer2,Agent,292.8,Four-Door Car,Small,nan
YE67531,Oregon,8382.630118,Yes,Basic,High School or Below,2/4/11,Retired,M,19683,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L3,Offer1,Web,561.6,Sports Car,Medsize,A
ID21061,Arizona,7291.599536,No,Extended,Master,2/4/11,Employed,F,84629,Urban,Married,90,19,17,0,5,Personal Auto,Personal L3,Offer2,Web,411.671832,Four-Door Car,Large,nan
KH92987,,21740.02913,,Extended,High School or Below,1/3/11,Employed,F,30095,Suburban,Married,136,0,94,0,2,Personal Auto,Personal L3,Offer1,Web,652.8,SUV,Medsize,A
FF93355,Washington,13268.79263,No,Premium,High School or Below,1/18/11,Employed,M,32762,Urban,Married,112,26,74,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,326.926833,Four-Door Car,Medsize,nan
TN36521,Arizona,24980.22553,No,Basic,College,2/24/11,Employed,F,88440,Rural,Single,70,19,30,0,2,Personal Auto,Personal L3,Offer4,Branch,27.145151,Two-Door Car,Medsize,nan
FE62142,,4267.076892,,Basic,Bachelor,2/26/11,Employed,F,43682,Rural,Married,107,12,73,0,1,Corporate Auto,Corporate L3,Offer3,Branch,148.003496,SUV,Medsize,A
TQ32702,,6990.917824,,Extended,College,1/27/11,Employed,F,22568,Suburban,Married,88,31,63,0,6,Corporate Auto,Corporate L2,Offer3,Branch,422.4,Four-Door Car,Medsize,nan
TK40018,Oregon,5917.466603,No,Premium,High School or Below,2/13/11,Unemployed,M,0,Suburban,Single,169,31,77,0,1,Personal Auto,Personal L3,Offer4,Agent,1207.084251,SUV,Medsize,nan
VU33725,Oregon,3677.907634,No,Extended,High School or Below,1/10/11,Employed,M,31349,Suburban,Married,93,10,32,0,1,Corporate Auto,Corporate L2,Offer4,Branch,446.4,Four-Door Car,Medsize,A
PU41393,Nevada,8269.075366,No,Basic,College,2/18/11,Medical Leave,M,20225,Suburban,Married,114,27,64,1,6,Special Auto,Special L2,Offer3,Call Center,547.2,SUV,Small,A
FR56877,Arizona,11763.93565,No,Extended,High School or Below,2/3/11,Employed,F,28806,Suburban,Married,99,35,75,0,2,Special Auto,Special L3,Offer2,Call Center,475.2,Four-Door Car,Medsize,nan
GN64199,Oregon,2652.289648,No,Basic,Doctor,2/2/11,Unemployed,F,0,Suburban,Single,73,2,35,0,1,Personal Auto,Personal L2,Offer1,Branch,490.690995,,,nan
FX72157,Oregon,8556.58016,No,Premium,High School or Below,2/20/11,Employed,F,52440,Urban,Single,109,27,58,0,3,Corporate Auto,Corporate L3,Offer2,Agent,371.206205,Four-Door Car,Medsize,nan
JF16897,Oregon,8776.363448,No,Basic,High School or Below,2/23/11,Employed,F,28360,Suburban,Married,73,8,65,0,2,Personal Auto,Personal L3,Offer1,Branch,863.909989,Four-Door Car,Medsize,nan
IK12576,Oregon,4233.56878,No,Premium,Bachelor,2/13/11,Employed,F,95647,Suburban,Single,106,11,30,0,1,Personal Auto,Personal L2,Offer1,Agent,508.8,Two-Door Car,Medsize,A
XY52165,Arizona,3020.424822,No,Basic,College,2/13/11,Employed,F,78561,Suburban,Married,74,,50,,1,Personal Auto,Personal L1,Offer1,Branch,355.2,Two-Door Car,Medsize,A
LC77957,Oregon,8543.247323,No,Basic,Bachelor,1/14/11,Employed,M,99180,Rural,Married,106,15,20,0,3,Personal Auto,Personal L1,Offer3,Branch,33.751887,,,A
VR81851,Oregon,11042.29006,No,Basic,College,1/25/11,Unemployed,F,0,Suburban,Single,64,14,91,0,2,Personal Auto,Personal L3,Offer2,Agent,415.803174,Four-Door Car,Medsize,nan
TM79451,California,5367.089817,No,Basic,College,1/6/11,Employed,F,97742,Rural,Single,67,33,57,0,5,Personal Auto,Personal L1,Offer1,Agent,67.648392,Four-Door Car,Small,A
NG68910,California,8901.055724,No,Basic,High School or Below,2/20/11,Employed,M,46814,Suburban,Married,113,7,19,0,3,Corporate Auto,Corporate L1,Offer4,Agent,542.4,SUV,Medsize,A
SR96970,Oregon,3489.276369,No,Extended,Bachelor,2/20/11,Unemployed,M,0,Suburban,Married,98,29,37,0,1,Personal Auto,Personal L3,Offer2,Call Center,705.6,Four-Door Car,Small,nan
BQ41371,Oregon,5626.530435,No,Basic,Bachelor,1/18/11,Employed,F,46897,Suburban,Married,70,16,47,0,3,Personal Auto,Personal L2,Offer4,Branch,344.377218,Four-Door Car,Small,nan
ZK67670,California,31758.35391,No,Extended,Master,1/28/11,Employed,F,44207,Urban,Married,99,23,57,0,2,Corporate Auto,Corporate L2,Offer3,Agent,407.638917,Four-Door Car,Medsize,nan
ST59524,Oregon,2657.570431,No,Basic,College,1/13/11,Unemployed,M,0,Suburban,Married,71,22,25,0,1,Personal Auto,Personal L1,Offer3,Call Center,340.8,Four-Door Car,Medsize,nan
EI17753,Oregon,4428.031583,Yes,Basic,High School or Below,1/29/11,Employed,F,58577,Urban,Married,110,6,62,0,1,Personal Auto,Personal L1,Offer1,Agent,303.872752,,,A
PH91033,Oregon,15808.75757,No,Extended,College,1/25/11,Employed,M,86347,Urban,Married,130,17,93,0,2,Personal Auto,Personal L2,Offer1,Web,593.779554,Sports Car,Medsize,nan
IJ33473,California,20766.66918,No,Basic,Bachelor,1/13/11,Unemployed,F,0,Suburban,Single,73,9,28,2,2,Personal Auto,Personal L3,Offer3,Call Center,350.4,Two-Door Car,Medsize,A
OY51402,Washington,8255.76385,No,Basic,High School or Below,1/14/11,Employed,F,54040,Rural,Married,103,14,88,0,4,Personal Auto,Personal L2,Offer1,Agent,59.987126,SUV,Medsize,A
NB57112,Oregon,8104.503269,No,Basic,Bachelor,2/22/11,Unemployed,F,0,Suburban,Single,117,24,8,1,6,Personal Auto,Personal L2,Offer2,Agent,842.4,,,A
BL79888,Oregon,34611.37896,Yes,Basic,High School or Below,1/14/11,Employed,F,20090,Suburban,Married,109,10,59,0,2,Personal Auto,Personal L2,Offer2,Agent,523.2,Sports Car,Medsize,nan
HA45220,California,5258.251562,No,Basic,High School or Below,2/26/11,Employed,F,37874,Rural,Married,65,30,65,0,8,Corporate Auto,Corporate L3,Offer1,Branch,41.016038,Four-Door Car,Large,A
MB51200,Washington,19069.49954,No,Premium,College,2/2/11,Unemployed,M,0,Suburban,Single,102,29,72,2,2,Personal Auto,Personal L3,Offer1,Branch,734.4,Four-Door Car,Medsize,A
QV13947,Oregon,4425.749642,No,Basic,College,2/25/11,Employed,M,63597,Rural,Married,114,10,31,2,1,Personal Auto,Personal L3,Offer2,Branch,183.978738,SUV,Medsize,nan
YX96463,Oregon,5926.980962,No,Basic,Bachelor,2/7/11,Employed,F,58733,Suburban,Married,74,26,42,0,9,Corporate Auto,Corporate L2,Offer2,Call Center,355.2,Four-Door Car,Small,A
NA12740,Oregon,5004.310469,No,Basic,Master,2/10/11,Disabled,M,25486,Rural,Married,65,15,53,0,3,Special Auto,Special L3,Offer1,Web,72.438681,Two-Door Car,Medsize,A
SJ43436,Oregon,2452.738575,No,Basic,Bachelor,1/28/11,Employed,F,52785,Rural,Married,61,2,90,0,1,Corporate Auto,Corporate L1,Offer2,Agent,45.721456,Two-Door Car,Medsize,A
DP97298,California,9710.286449,No,Extended,High School or Below,1/23/11,Employed,M,33190,Rural,Single,123,1,95,0,4,Personal Auto,Personal L2,Offer1,Call Center,40.950769,Sports Car,Medsize,nan
WM25415,Oregon,7732.385103,No,Basic,High School or Below,1/11/11,Employed,F,34430,Urban,Divorced,65,6,15,0,2,Personal Auto,Personal L2,Offer1,Agent,184.958966,Two-Door Car,Medsize,A
CD95333,,5638.930838,,Basic,Bachelor,1/10/11,Employed,M,20920,Rural,Single,74,19,14,0,4,Personal Auto,Personal L1,Offer2,Branch,14.784843,Two-Door Car,Medsize,nan
ZC61874,Arizona,9560.049227,No,Extended,Doctor,2/3/11,Disabled,F,19429,Suburban,Married,122,18,21,0,9,Special Auto,Special L1,Offer1,Branch,683.45551,SUV,Small,A
AX39008,Oregon,26113.36,No,Basic,Bachelor,1/2/11,Employed,M,80409,Urban,Divorced,74,28,72,0,2,Personal Auto,Personal L3,Offer3,Call Center,262.984836,Two-Door Car,Medsize,nan
WN91943,California,12948.39854,No,Premium,College,1/21/11,Employed,M,30763,Suburban,Single,111,,19,,2,Personal Auto,Personal L1,Offer1,Agent,1072.532443,Four-Door Car,Medsize,A
VR66049,Washington,6689.022728,Yes,Extended,High School or Below,2/13/11,Employed,M,56980,Suburban,Married,84,33,70,0,7,Corporate Auto,Corporate L3,Offer2,Agent,599.000883,Two-Door Car,Medsize,A
AD28349,Arizona,4637.544647,No,Basic,High School or Below,2/23/11,Unemployed,M,0,Suburban,Divorced,68,18,81,0,3,Personal Auto,Personal L3,Offer1,Call Center,352.130674,Four-Door Car,Medsize,A
JJ97525,California,4929.549699,Yes,Basic,Bachelor,1/26/11,Employed,M,25632,Suburban,Married,63,27,52,0,7,Personal Auto,Personal L1,Offer2,Call Center,351.270869,Two-Door Car,Medsize,nan
AT55072,Arizona,9103.8997,No,Premium,College,2/4/11,Employed,M,65733,Suburban,Married,113,13,6,0,3,Personal Auto,Personal L2,Offer2,Agent,684.948527,Four-Door Car,Medsize,nan
AY73718,California,5243.446345,No,Basic,Bachelor,1/20/11,Employed,F,96535,Urban,Single,66,11,85,0,3,Personal Auto,Personal L3,Offer1,Agent,271.074379,Four-Door Car,Medsize,nan
XO70106,Oregon,12421.86213,No,Basic,Bachelor,1/14/11,Employed,M,58781,Urban,Divorced,106,31,37,0,2,Personal Auto,Personal L2,Offer1,Agent,502.46107,SUV,Small,nan
JC45487,Washington,5639.941974,Yes,Basic,High School or Below,1/10/11,Employed,M,73168,Suburban,Married,70,21,50,0,3,Personal Auto,Personal L2,Offer2,Agent,425.800112,Four-Door Car,Medsize,nan
FH97700,Washington,4049.415027,No,Premium,Bachelor,1/18/11,Employed,F,62864,Rural,Single,104,20,14,0,1,Personal Auto,Personal L2,Offer3,Agent,171.213743,Two-Door Car,Small,A
LK51056,Arizona,4631.011293,No,Basic,Bachelor,1/12/11,Employed,M,78152,Suburban,Married,114,18,35,0,1,Corporate Auto,Corporate L3,Offer4,Branch,547.2,SUV,Medsize,nan
VI69768,California,23990.14738,No,Basic,Bachelor,1/25/11,Employed,M,69781,Suburban,Married,119,25,49,0,2,Personal Auto,Personal L1,Offer2,Call Center,849.208601,SUV,Small,nan
GP99578,Nevada,7086.176012,No,Basic,High School or Below,1/13/11,Unemployed,F,0,Suburban,Single,196,10,38,0,1,Personal Auto,Personal L3,Offer1,Branch,1644.690622,Luxury SUV,Medsize,nan
CM59084,Oregon,3600.934326,Yes,Basic,High School or Below,2/25/11,Retired,F,25147,Suburban,Single,101,7,54,0,1,Corporate Auto,Corporate L3,Offer1,Agent,694.598288,SUV,Medsize,nan
DK26322,Washington,12321.83615,No,Basic,High School or Below,1/22/11,Medical Leave,M,26887,Suburban,Single,113,32,67,0,2,Special Auto,Special L3,Offer1,Web,542.4,SUV,Small,nan
VC34764,California,7019.177186,Yes,Basic,College,1/23/11,Retired,M,26806,Suburban,Married,63,32,19,0,2,Personal Auto,Personal L2,Offer1,Agent,302.4,Four-Door Car,Medsize,A
HN45134,Arizona,5757.442258,Yes,Basic,Master,1/31/11,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,nan
ES16126,California,4330.38602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L1,Offer2,Branch,513.6,Four-Door Car,Medsize,nan
WL99637,Arizona,7614.137981,No,Extended,Bachelor,2/2/11,Employed,M,27293,Suburban,Married,96,20,55,0,6,Personal Auto,Personal L3,Offer2,Web,469.030907,Two-Door Car,Medsize,A
